gender,type,leading,following,key,ID,text (NL),text (EN)
female,flat,,,flat-low,01F-LOW,"Op basis van je antwoorden springt er geen prominente reactie uit. De reacties die deze test meet liggen bij jou dicht bij elkaar, en geen ervan speelt een hoofdrol.

Dat kan verschillende dingen betekenen. Misschien herken je jezelf niet in de situaties die we je hebben voorgelegd. Misschien heb je al veel inzicht in je gedrag en klopt deze uitkomst precies. Het kan ook zijn dat deze twintig vragen niet aansluiten bij wat er nu bij jou speelt.

Het persoonlijke rapport dat wordt opgebouwd rond één duidelijke reactie, en die komt uit jouw antwoorden niet naar voren. Herken je je hier niet in, of wil je er toch over doorpraten? Laat het ons weten.",
female,flat,,,flat-high,01F-HIGH,"Op basis van je antwoorden lijkt er momenteel veel tegelijk te spelen in je leven. Waar bij de meeste mensen één reactie dominant is, scoor je op alle vijf hoog - ze zijn bij jou allemaal actief.

Wellicht is het niet fijn om te lezen maar wel herkenbaar. Het kan betekenten dat er momenteel (te) veel van je gevraagd wordt, en dat je weinig ruimte ervaart om je in jezelf te verdiepen.

Juist daarom sturen we je geen persoonlijk rapport op. Zo'n rapport gaat over één reactie, en dat doet geen recht aan wat er bij jou lijkt te spelen. Wat hier wel past is een gesprek. Neem gerust contact met ons op.",
female,single,Fear,,fear,01F-FR,"Regelmatig zijn er situatie waar je tegenop ziet. Je merkt dan dat er iets in je blokkeert. Bijvoorbeeld als je je wilt uitspreken of iets wilt doen. In plaats daarvan hou je je stil en onderneem je geen actie. Vaak weet je wel dat de gebeurtenis die gaat komen, niet gevaarlijk is maar het roept toch veel spanning op. Je houdt de dingen graag overzichtelijk en veilig voor jezelf.",
female,single,Self-rejection,,self-rejection,01F-SR,"Over het algemeen voel je je nogal futloos.  De energie die je hebt gaat vaak op aan piekeren. Als je met mensen in contact bent geweest, ga je het gesprek nog wel 10 x na om te kijken wat voor ‘gekke’ dingen je hebt gezegd. Je merkt dat je vaak twijfel over de keuzes die je maakt of vindt het per definitie lastig om een keuze te maken. Je vergelijkt jezelf vaak met anderen en voelt jezelf meestal de mindere.",
female,single,False hope,,false-hope,01F-FH,"Je zegt vaak al ja voordat je goed beseft wat je precies hebt beloofd - zeker aan de mensen om je heen die belangrijk voor je zijn. Rust voelt pas verdiend als je je to do's hebt afgevinkt. Er zit een drive in je die je voortdurend een gevoel van urgentie geeft. Het kan zijn dat je het gevoel van ‘urgentie’ niet eens echt voelt omdat je niet beter weet, het voelt als normaal, zo ben je nou eenmaal. 'Als ik dit nu maar eerst doe, dan komt het wel goed’ is jouw levensmotto.",
female,single,False power,,false-power,01F-FP,"Als je eerlijk bent naar jezelf, heb je aardig wat temperament. Fysiek gezien kan je je vrij snel opwinden waardoor je stress ervaart. Deze energie richt zich meestal naar buiten toe en vertaalt zich voor een groot deel uit (ver)oordelen van de mensen om je heen. Daarnaast ervaar je regelmatig dat mensen je niet begrijpen en dat je er alleen voorstaat. Eigenlijk vind je ook dat je de meeste dingen beter kan dan anderen.",
female,single,Emotional numbing,,emotional-numbing,01F-EM,"Eigenlijk ervaar je niet veel lijdenslast. Ik vraag me zelfs af, of jezelf deze test wilde gaan doen of dat iemand anders je op deze test heeft geattendeerd. In de basis heb je niet veel nodig. Stiekem vind je vaak dat andere mensen al snel moeilijk doen. Als je al ergens ‘last’ van heb is het dat je kan zien dat mensen om je heen intensere emoties ervaren, wat je wellicht zelf ook wel zou willen, als het over fijne emoties gaat. ‘Niet moeilijk doen, het komt wel goed’ is jouw motto. Daarnaast kan je je in allerlei omstandigheden ontzettend goed aanpassen, ook al gaat dit misschien ten koste van jezelf.",
female,dual,Fear,Self-rejection,fear_self-rejection,01F-FR-SR,"Regelmatig komt er een spanning bij je op. Deze spanning kan variëren van hoog tot licht. Doordat gevoel ga je snel situaties uit de weg. Ook al weet je dat je het eigenlijk best aan kan. Daardoor volgt er snel een verwijt aan jezelf, “waarom heb ik dit nu…wat ben ik toch een…!” Dit verwijt kan vervolgens weer een zwaar, onrustig gevoel in jezelf oproepen en zo zit je in een lus van nare gevoelens en gedachten die zichzelf in stand houdt.",
female,dual,Fear,False hope,fear_false-hope,01F-FR-FH,"Je merkt regelmatig op dat je je in veel situaties gespannen voelt en je het liefst wil terugtrekken of er bij voorbaat al niet naar toe wil gaan. Aan de andere kant voelen de consequenties van het ‘niet gaan’ nog groter. Wat gaan ze dan over me denken? Niet gaan, voelt dus als geen optie. Je oplossing is om je beste beentje voor te zetten en je best te doen om aan de verwachtingen van de andere mensen te voldoen.",
female,dual,Fear,False power,fear_false-power,01F-FR-FP,"Je merkt regelmatig een voor jou bekende spanning op in je lichaam. Dit gebeurd met name op als het om situaties gaat waar je voor jouw gevoel geen grip op hebt. Die spanning zet zich dan al snel om in irritatie waarbij je verwijtend kan zijn. Met name naar de mensen die dichtbij je staan. Als je je spanning, wat eruit ziet als irritatie hebt geuit, voel je je daarna wat rustiger.",
