type,key,text (NL),text (EN)
single,fear,Ik voel spanning zodra ik iets wil doen - terwijl ik weet dat het onnodig is,
single,self-rejection,Ik voel me minder dan wie dan ook,
single,false-hope,Ik ben altijd bezig mijn lijstje weg te werken,
single,false-power,Ik irriteer me snel aan anderen,
single,emotional-numbing,Ik maak me niet snel druk - er is toch niets aan de hand,
dual,fear_self-rejection,Ik voel spanning zodra ik iets wil doen - en dan vind ik mezelf zwak,
dual,fear_false-hope,Ik voel spanning als ik iets wil doen - en richt me dan liever op wat ik wél aandurf,
dual,fear_false-power,Ik voel spanning zodra ik de controle verlies - en irriteer me aan anderen,
dual,fear_emotional-numbing,Ik voel spanning zodra ik iets wil doen - dan zoek ik afleiding,
dual,self-rejection_fear,Ik voel me vaak minder dan anderen - en daardoor gespannen,
dual,self-rejection_false-hope,Ik voel me vaak minder dan anderen - mijn best doen maakt me tenminste nuttig,
dual,self-rejection_false-power,Ik baal van mijn onzekerheid - en irriteer me aan mezelf en iedereen,
dual,self-rejection_emotional-numbing,Ik voel me vaak minder dan anderen - dan leid ik mezelf af door iets te gaan doen,
dual,false-hope_fear,Ik doe eigenlijk altijd mijn best - maar ik blijf gespannen,
dual,false-hope_self-rejection,Ik doe eigenlijk altijd mijn best - toch voel ik me nooit goed genoeg,
dual,false-hope_false-power,Ik sta altijd voor iedereen klaar - en het irriteert me dat er zelden iets tegenover staat,
dual,false-hope_emotional-numbing,Ik ga altijd door - zo is het nou eenmaal,
dual,false-power_fear,Ik irriteer me snel aan anderen - maar spreek me er zelden over uit,
dual,false-power_self-rejection,Ik irriteer me snel aan anderen - maar voel me daar schuldig over,
dual,false-power_false-hope,Ik irriteer me snel aan anderen - toch blijf ik mijn best voor hen doen,
dual,false-power_emotional-numbing,"Ik irriteer me snel aan anderen - maar ik laat het zo, het maakt toch niet uit",
dual,emotional-numbing_fear,Het gaat best wel goed - maar lastige gesprekken ga ik uit de weg,
dual,emotional-numbing_self-rejection,Het gaat best wel goed - toch denk ik soms dat ik niet deug,
dual,emotional-numbing_false-hope,Het gaat best wel goed - toch ben ik moe van het altijd maar regelen,
dual,emotional-numbing_false-power,Het gaat best wel goed - totdat ik ineens uit mijn vel spring,
