name,slug,category,answer,show-on-homepage,show-on-railos-page,order
"What is ETCS and why does my fleet need it?",what-is-etcs,Products,"ETCS (European Train Control System) is the signalling and control component of the European Rail Traffic Management System (ERTMS). As legacy national signalling systems are phased out across Europe, fleet operators need ETCS to continue operating on upgraded rail networks.",false,false,1
"What is the difference between RailOS Apps and Products?",railos-apps-vs-products,RailOS,"RailOS Apps are the software applications that run on our certified safe computing platform. Products are the commercial packages we offer — each product combines one or more RailOS Apps with the necessary hardware devices for a complete onboard solution.",false,false,2
"How long does an ETCS retrofit take per vehicle?",etcs-retrofit-timeline,Services,"TSC can install an ETCS system onboard in as few as 10 days per vehicle. Software updates take under 1 month and automated commissioning takes under 3 hours — significantly faster than traditional retrofit approaches.",false,false,3
"Which countries does TSC's Class B ATP cover?",class-b-country-coverage,Products,"Our Class B ATP portfolio covers Belgium (TBL1), France (KVB), Germany, Austria, Romania, Serbia, and Croatia (PZB), and the UK, Poland, Czech Republic, and more via our universal wSTM solution.",false,false,4
"What is the Open RailOS developer program?",open-railos-developer-program,RailOS,"Open RailOS invites third-party software developers to build applications on our certified safe computing platform. Developers can apply for one of two App Development Kits (ADKs): a General ADK for non-safety applications, or a Safe ADK for safety-critical applications.",false,false,5
"Is TSC certified for safety-critical railway systems?",tsc-safety-certification,,"Yes. RailOS and our ETCS application are SIL4-certified — the highest safety integrity level for railway signalling. Our systems have been assessed by independent notified bodies and approved by national safety authorities in Belgium, the Netherlands, and Germany.",true,false,6
"How does a software-defined system handle safety certification?",software-defined-safety-certification,,"The same way any SIL4 system does — through rigorous verification, validation, and independent assessment. The difference is that our safety case is designed for software evolution. When an application is updated, only the changed software component needs re-certification, not the entire system.",true,false,7
"What happens when I need to operate in a new country?",operating-in-new-country,,"You deploy the relevant national ATP application (PZB for Germany, KVB for France, TBL1+ for Belgium) as a software package on your existing RailOS hardware. No new boxes, no new wiring, no new depot integration. The hardware stays the same.",true,false,8
"How is TSC different from Alstom, Siemens, or Thales?",tsc-vs-incumbents,,"Those vendors build closed, proprietary systems where the hardware, software, and roadmap are controlled by the vendor. TSC's platform is open — software-defined, hardware-agnostic, and available to third-party developers. We also offer full lifecycle services from assessment through homologation to 10-year maintenance, so you're supported from day one to decade two.",true,false,9
"TSC is a younger company. Why should I trust you with safety-critical systems?",why-trust-tsc,,"Our founding team built ATP systems at Alstom, Bombardier, and other major OEMs before starting TSC. The collective experience is measured in decades, not years. TSC is part of the Skoda Group, providing corporate stability and manufacturing scale. And our systems are independently certified to the same SIL4 standard as every incumbent — the maths doesn't care who built it.",true,false,10
"What does a typical ETCS retrofit project look like?",typical-etcs-retrofit,,"We start with a fleet assessment to determine scope and compatibility. Then we manage the homologation process with the relevant national safety authority — the most complex part of any retrofit. Once approved, our team handles installation and commissioning. Typical timelines depend on fleet size and country requirements.",true,false,11
